outcome,trust,stub,step,ord,N_after
ihs_lab_inc_defl_win_s_2020,trust_pc1,pc1,+ married_2020,4,533
ihs_lab_inc_defl_win_s_2020,trust_pc1,pc1,+ born_us,5,533
ihs_lab_inc_defl_win_s_2020,trust_pc1,pc1,+ inlbrf_2020,6,531
ihs_lab_inc_defl_win_s_2020,trust_pc1,pc1,+ race_eth,7,530
ihs_lab_inc_defl_win_s_2020,trust_pc2,pc2,BASE(outcome+trust),0,536
ihs_lab_inc_defl_win_s_2020,trust_pc2,pc2,+ age_2020,1,536
ihs_lab_inc_defl_win_s_2020,trust_pc2,pc2,+ gender,2,536
ihs_lab_inc_defl_win_s_2020,trust_pc2,pc2,+ educ_yrs,3,533
ihs_lab_inc_defl_win_s_2020,trust_pc2,pc2,+ married_2020,4,533
ihs_lab_inc_defl_win_s_2020,trust_pc2,pc2,+ born_us,5,533
ihs_lab_inc_defl_win_s_2020,trust_pc2,pc2,+ inlbrf_2020,6,531
ihs_lab_inc_defl_win_s_2020,trust_pc2,pc2,+ race_eth,7,530
ihs_lab_inc_defl_win_s_2020,trust_social_security_2020,social_security,BASE(outcome+trust),0,1013
ihs_lab_inc_defl_win_s_2020,trust_social_security_2020,social_security,+ age_2020,1,1013
ihs_lab_inc_defl_win_s_2020,trust_social_security_2020,social_security,+ gender,2,1013
ihs_lab_inc_defl_win_s_2020,trust_social_security_2020,social_security,+ educ_yrs,3,1006
ihs_lab_inc_defl_win_s_2020,trust_social_security_2020,social_security,+ married_2020,4,1006
ihs_lab_inc_defl_win_s_2020,trust_social_security_2020,social_security,+ born_us,5,1006
ihs_lab_inc_defl_win_s_2020,trust_social_security_2020,social_security,+ inlbrf_2020,6,1001
ihs_lab_inc_defl_win_s_2020,trust_social_security_2020,social_security,+ race_eth,7,1000
ihs_tot_inc_defl_win_s_2020,trust_advisors_2020,advisors,BASE(outcome+trust),0,1080
ihs_tot_inc_defl_win_s_2020,trust_advisors_2020,advisors,+ age_2020,1,1080
ihs_tot_inc_defl_win_s_2020,trust_advisors_2020,advisors,+ gender,2,1080
ihs_tot_inc_defl_win_s_2020,trust_advisors_2020,advisors,+ educ_yrs,3,1075
ihs_tot_inc_defl_win_s_2020,trust_advisors_2020,advisors,+ married_2020,4,1074
ihs_tot_inc_defl_win_s_2020,trust_advisors_2020,advisors,+ born_us,5,1074
ihs_tot_inc_defl_win_s_2020,trust_advisors_2020,advisors,+ inlbrf_2020,6,1069
ihs_tot_inc_defl_win_s_2020,trust_advisors_2020,advisors,+ race_eth,7,1068
ihs_tot_inc_defl_win_s_2020,trust_banks_2020,banks,BASE(outcome+trust),0,990
ihs_tot_inc_defl_win_s_2020,trust_banks_2020,banks,+ age_2020,1,990
ihs_tot_inc_defl_win_s_2020,trust_banks_2020,banks,+ gender,2,990
ihs_tot_inc_defl_win_s_2020,trust_banks_2020,banks,+ educ_yrs,3,986
ihs_tot_inc_defl_win_s_2020,trust_banks_2020,banks,+ married_2020,4,985
ihs_tot_inc_defl_win_s_2020,trust_banks_2020,banks,+ born_us,5,985
ihs_tot_inc_defl_win_s_2020,trust_banks_2020,banks,+ inlbrf_2020,6,979
ihs_tot_inc_defl_win_s_2020,trust_banks_2020,banks,+ race_eth,7,978
ihs_tot_inc_defl_win_s_2020,trust_others_2020,general,BASE(outcome+trust),0,900
ihs_tot_inc_defl_win_s_2020,trust_others_2020,general,+ age_2020,1,900
ihs_tot_inc_defl_win_s_2020,trust_others_2020,general,+ gender,2,900
ihs_tot_inc_defl_win_s_2020,trust_others_2020,general,+ educ_yrs,3,896
ihs_tot_inc_defl_win_s_2020,trust_others_2020,general,+ married_2020,4,895
ihs_tot_inc_defl_win_s_2020,trust_others_2020,general,+ born_us,5,895
ihs_tot_inc_defl_win_s_2020,trust_others_2020,general,+ inlbrf_2020,6,891
ihs_tot_inc_defl_win_s_2020,trust_others_2020,general,+ race_eth,7,890
ihs_tot_inc_defl_win_s_2020,trust_insurance_2020,insurance,BASE(outcome+trust),0,1147
ihs_tot_inc_defl_win_s_2020,trust_insurance_2020,insurance,+ age_2020,1,1147
ihs_tot_inc_defl_win_s_2020,trust_insurance_2020,insurance,+ gender,2,1147
ihs_tot_inc_defl_win_s_2020,trust_insurance_2020,insurance,+ educ_yrs,3,1141
ihs_tot_inc_defl_win_s_2020,trust_insurance_2020,insurance,+ married_2020,4,1140
ihs_tot_inc_defl_win_s_2020,trust_insurance_2020,insurance,+ born_us,5,1140
ihs_tot_inc_defl_win_s_2020,trust_insurance_2020,insurance,+ inlbrf_2020,6,1134
ihs_tot_inc_defl_win_s_2020,trust_insurance_2020,insurance,+ race_eth,7,1133
ihs_tot_inc_defl_win_s_2020,trust_media_2020,media,BASE(outcome+trust),0,1235
ihs_tot_inc_defl_win_s_2020,trust_media_2020,media,+ age_2020,1,1235
ihs_tot_inc_defl_win_s_2020,trust_media_2020,media,+ gender,2,1235
ihs_tot_inc_defl_win_s_2020,trust_media_2020,media,+ educ_yrs,3,1228
ihs_tot_inc_defl_win_s_2020,trust_media_2020,media,+ married_2020,4,1227
ihs_tot_inc_defl_win_s_2020,trust_media_2020,media,+ born_us,5,1227
ihs_tot_inc_defl_win_s_2020,trust_media_2020,media,+ inlbrf_2020,6,1222
ihs_tot_inc_defl_win_s_2020,trust_media_2020,media,+ race_eth,7,1221
ihs_tot_inc_defl_win_s_2020,trust_medicare_2020,medicare,BASE(outcome+trust),0,1029
ihs_tot_inc_defl_win_s_2020,trust_medicare_2020,medicare,+ age_2020,1,1029
ihs_tot_inc_defl_win_s_2020,trust_medicare_2020,medicare,+ gender,2,1029
ihs_tot_inc_defl_win_s_2020,trust_medicare_2020,medicare,+ educ_yrs,3,1022
ihs_tot_inc_defl_win_s_2020,trust_medicare_2020,medicare,+ married_2020,4,1021
ihs_tot_inc_defl_win_s_2020,trust_medicare_2020,medicare,+ born_us,5,1021
ihs_tot_inc_defl_win_s_2020,trust_medicare_2020,medicare,+ inlbrf_2020,6,1014
ihs_tot_inc_defl_win_s_2020,trust_medicare_2020,medicare,+ race_eth,7,1013
ihs_tot_inc_defl_win_s_2020,trust_mutual_funds_2020,mutual_funds,BASE(outcome+trust),0,1072
