varname,N,mean,sd,p1,p5,p50,p95,p99,min,max
ln_lab_inc_final_,187648,10.096184,.96636444,7.2363276,8.5933447,10.074228,11.65052,12.22306,6.5429611,12.397728
ln_tot_inc_final_,198533,10.314693,1.1410022,6.4012489,8.5984735,10.3233,12.104899,12.88498,5.7417397,13.05797
