educ_group,mean_lab,mean_tot,n
lt12,18295.32480924251,23986.55168983342,44654
hs,27730.35899917927,39600.43580088829,63826
some_college,35263.89811198878,53481.54093639057,47390
college,49947.41713717338,82575.97939133221,24820
grad,62200.70887532739,104063.9097053243,23091
,42385.2011862123,61877.34569644126,1171
