educ_group,mean_lab,mean_tot,n
lt12,18295.32480924243,23986.55168983331,44654
hs,27730.3589991796,39600.43580088886,63826
some_college,35263.89811198843,53481.54093639064,47390
college,49947.41713717314,82575.97939133146,24820
grad,62200.70887532705,104063.9097053242,23091
,42385.20118621227,61877.34569644131,1171
